"Date","Price","Open","High","Low","Vol.","Change %"
"04/03/2019","3,123.50","3,146.55","3,146.55","3,121.08","5.90K","-0.72%"
"04/02/2019","3,146.05","3,142.65","3,152.83","3,131.15","7.45K","0.11%"
"04/01/2019","3,142.65","3,188.03","3,188.74","3,138.01","4.40K","-1.42%"
"03/29/2019","3,188.03","3,175.45","3,189.90","3,157.59","6.90K","0.40%"
"03/28/2019","3,175.45","3,175.80","3,207.00","3,174.34","5.03K","-0.04%"
"03/27/2019","3,176.80","3,156.90","3,200.35","3,153.75","4.64K","0.66%"
"03/26/2019","3,155.90","3,128.63","3,160.15","3,126.85","4.29K","0.77%"
"03/25/2019","3,131.63","3,134.30","3,139.51","3,128.63","2.45K","-0.01%"
"03/22/2019","3,131.80","3,089.00","3,142.36","3,086.96","4.78K","1.39%"
"03/21/2019","3,089.00","3,089.00","3,091.18","3,073.00","4.98K","0.03%"
"03/20/2019","3,088.00","3,097.80","3,103.95","3,081.63","5.15K","-0.32%"
"03/19/2019","3,097.80","3,100.00","3,101.50","3,089.45","5.06K","-0.07%"
"03/18/2019","3,100.00","3,121.50","3,121.50","3,092.20","4.40K","-0.69%"
"03/15/2019","3,121.50","3,142.00","3,144.00","3,111.03","5.08K","-0.65%"
"03/14/2019","3,142.00","3,145.55","3,158.50","3,135.14","5.33K","-0.11%"
"03/13/2019","3,145.55","3,148.50","3,154.94","3,131.50","5.16K","-0.09%"
"03/12/2019","3,148.50","3,178.70","3,179.70","3,142.92","5.46K","-0.95%"
"03/11/2019","3,178.70","3,172.80","3,182.50","3,150.80","5.64K","0.15%"
"03/08/2019","3,173.80","3,142.50","3,176.00","3,142.50","4.02K","0.98%"
"03/07/2019","3,143.00","3,107.45","3,147.90","3,103.81","4.93K","1.19%"
"03/06/2019","3,105.95","3,098.35","3,109.40","3,096.50","6.27K","0.20%"
"03/05/2019","3,099.85","3,096.95","3,105.17","3,093.86","7.26K","0.14%"
"03/04/2019","3,095.45","3,096.15","3,099.80","3,087.00","6.35K","-0.02%"
"03/01/2019","3,096.15","3,081.75","3,099.05","3,078.67","5.22K","0.48%"
"02/28/2019","3,081.50","3,070.25","3,084.50","3,066.00","5.41K","0.36%"
"02/27/2019","3,070.50","3,081.00","3,084.00","3,065.15","5.24K","-0.41%"
"02/26/2019","3,083.00","3,105.00","3,112.74","3,082.40","1.89K","-0.71%"
"02/25/2019","3,105.00","3,110.00","3,118.94","3,088.30","5.12K","-0.11%"
"02/22/2019","3,108.50","3,124.40","3,125.00","3,105.89","5.43K","-0.49%"
"02/21/2019","3,123.90","3,110.90","3,127.60","3,107.70","5.00K","0.42%"
"02/20/2019","3,110.90","3,115.75","3,120.75","3,106.86","5.78K","-0.16%"
"02/19/2019","3,115.75","3,133.00","3,133.00","3,111.70","4.58K","-0.58%"
"02/18/2019","3,134.00","3,134.00","3,138.62","3,125.40","1.74K","0.00%"
"02/15/2019","3,134.00","3,151.60","3,155.70","3,133.00","4.88K","-0.54%"
"02/14/2019","3,151.10","3,141.00","3,164.45","3,137.85","4.55K","0.32%"
"02/13/2019","3,141.00","3,126.50","3,144.15","3,125.22","4.43K","0.47%"
"02/12/2019","3,126.25","3,138.63","3,143.50","3,120.10","4.16K","-0.40%"
"02/11/2019","3,138.88","3,115.55","3,143.45","3,110.50","3.83K","0.73%"
"02/08/2019","3,116.05","3,117.70","3,125.02","3,103.10","3.98K","-0.05%"
"02/07/2019","3,117.70","3,106.50","3,119.20","3,101.75","4.38K","0.38%"
"02/06/2019","3,106.00","3,108.99","3,119.30","3,099.15","3.39K","-0.13%"
"02/05/2019","3,109.99","3,088.60","3,110.99","3,081.00","4.04K","0.73%"
"02/04/2019","3,087.60","3,089.90","3,101.90","3,082.55","3.92K","-0.07%"
"02/01/2019","3,089.90","3,105.25","3,116.98","3,089.40","3.50K","-0.49%"
"01/31/2019","3,105.00","3,163.45","3,163.45","3,102.49","5.29K","-1.84%"
"01/30/2019","3,163.20","3,154.10","3,168.50","3,147.50","4.27K","0.29%"
"01/29/2019","3,154.10","3,158.00","3,166.00","3,147.00","4.54K","-0.12%"
"01/28/2019","3,158.00","3,151.99","3,175.01","3,151.99","3.11K","0.19%"
"01/25/2019","3,151.99","3,171.00","3,171.00","3,137.18","4.78K","-0.60%"
"01/24/2019","3,171.00","3,152.65","3,173.53","3,149.65","4.52K","0.61%"
"01/23/2019","3,151.90","3,144.49","3,154.20","3,137.12","4.44K","0.19%"
"01/22/2019","3,145.99","3,126.50","3,146.00","3,123.38","4.31K","0.62%"
"01/21/2019","3,126.50","3,124.00","3,131.00","3,124.00","0.55K","0.08%"
"01/18/2019","3,124.00","3,132.55","3,134.30","3,110.06","4.15K","-0.27%"
"01/17/2019","3,132.55","3,117.85","3,150.25","3,117.85","5.45K","0.48%"
"01/16/2019","3,117.60","3,141.28","3,142.78","3,113.00","","-0.75%"
"01/15/2019","3,141.28","3,139.60","3,151.80","3,127.10","4.14K","0.05%"
"01/14/2019","3,139.60","3,138.15","3,158.78","3,132.40","0.04K","0.01%"
"01/11/2019","3,139.15","3,138.40","3,164.70","3,136.17","4.02K","0.05%"
"01/10/2019","3,137.65","3,136.00","3,147.80","3,118.01","","0.05%"
"01/09/2019","3,136.00","3,151.20","3,151.20","3,117.01","","-0.48%"
"01/08/2019","3,151.20","3,181.25","3,184.19","3,147.00","0.12K","-0.97%"
"01/07/2019","3,181.99","3,193.65","3,194.65","3,181.99","0.00K","-0.35%"
"01/04/2019","3,193.15","3,244.50","3,245.50","3,189.96","0.00K","-1.58%"
"01/03/2019","3,244.50","3,239.00","3,260.25","3,225.27","0.04K","0.17%"
"01/02/2019","3,239.00","3,246.50","3,265.49","3,235.08","0.05K","-0.26%"
"01/01/2019","3,247.50","3,247.50","3,248.50","3,247.50","0.11K","0.00%"
"12/31/2018","3,247.50","3,247.50","3,247.50","3,247.50","","0.00%"
"12/28/2018","3,247.50","3,274.50","3,282.50","3,239.50","","-0.85%"
"12/27/2018","3,275.50","3,285.00","3,285.00","3,265.50","","-0.29%"
"12/26/2018","3,285.00","3,294.00","3,303.50","3,281.00","","-0.30%"
"12/25/2018","3,295.00","3,295.00","3,295.00","3,295.00","","0.00%"
"12/24/2018","3,295.00","3,295.50","3,297.00","3,280.55","","0.03%"
"12/21/2018","3,294.00","3,270.00","3,297.30","3,263.40","","0.73%"
